Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total Décès;Nom région;Nom département;Sexe;geo_point_2d
2B;01/05/2020;6;1;5;Corse;Haute-Corse;Homme;42.3944507303, 9.21065397337
30;01/05/2020;65;12;29;Occitanie;Gard;Femme;43.9956452617, 4.17902205205
31;01/05/2020;78;33;37;Occitanie;Haute-Garonne;Homme;43.3618361296, 1.1827434953
32;01/05/2020;13;0;6;Occitanie;Gers;Femme;43.6910233855, 0.452525133755
36;01/05/2020;69;6;27;Centre-Val de Loire;Indre;Femme;46.7797106525, 1.57443501984
48;01/05/2020;1;0;0;Occitanie;Lozère;Femme;44.5155815066, 3.49993932838
57;01/05/2020;729;89;669;Grand Est;Moselle;Tous;49.0371678959, 6.6620530164
65;01/05/2020;65;5;20;Occitanie;Hautes-Pyrénées;Tous;43.0528662, 0.172283279776
85;01/05/2020;20;3;10;Pays de la Loire;Vendée;Femme;46.6762230412, -1.30298330994
90;01/05/2020;60;2;62;Bourgogne-Franche-Comté;Territoire de Belfort;Femme;47.6346179758, 6.92327096161
93;01/05/2020;739;120;531;Île-de-France;Seine-Saint-Denis;Homme;48.9083101579, 2.48332622588
06;02/05/2020;94;10;64;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Femme;43.93340912, 7.11989042987
10;02/05/2020;226;12;112;Grand Est;Aube;Tous;48.3056988371, 4.15915758483
12;02/05/2020;26;2;22;Occitanie;Aveyron;Tous;44.2821565223, 2.67730358922
13;02/05/2020;927;158;416;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Tous;43.5447787602, 5.08012851604
2A;02/05/2020;48;6;42;Corse;Corse-du-Sud;Tous;41.8725745076, 8.98230498246
42;02/05/2020;186;9;61;Auvergne-Rhône-Alpes;Loire;Femme;45.727718684, 4.16117137934
44;02/05/2020;213;23;127;Pays de la Loire;Loire-Atlantique;Tous;47.3612553393, -1.6750424562
45;02/05/2020;247;43;73;Centre-Val de Loire;Loiret;Tous;47.9116615818, 2.34174926743
59;02/05/2020;853;160;444;Hauts-de-France;Nord;Tous;50.4474546111, 3.21154897235
62;02/05/2020;214;21;95;Hauts-de-France;Pas-de-Calais;Femme;50.4904025462, 2.28387990653
72;02/05/2020;129;10;55;Pays de la Loire;Sarthe;Tous;47.9939387561, 0.227666178967
83;02/05/2020;237;30;113;Provence-Alpes-Côte d'Azur;Var;Tous;43.4437447206, 6.24426728036
85;02/05/2020;46;10;31;Pays de la Loire;Vendée;Tous;46.6762230412, -1.30298330994
86;02/05/2020;27;5;16;Nouvelle-Aquitaine;Vienne;Homme;46.5638983824, 0.462231269996
88;02/05/2020;132;5;96;Grand Est;Vosges;Femme;48.1942628932, 6.37595262926
91;02/05/2020;613;48;169;Île-de-France;Essonne;Femme;48.5174587303, 2.24865517666
03;03/05/2020;44;14;27;Auvergne-Rhône-Alpes;Allier;Tous;46.3935951626, 3.18694463087
07;03/05/2020;76;0;17;Auvergne-Rhône-Alpes;Ardèche;Femme;44.7532685394, 4.42389358891
27;03/05/2020;63;1;33;Normandie;Eure;Femme;49.1173587925, 0.994646492411
33;03/05/2020;212;45;118;Nouvelle-Aquitaine;Gironde;Tous;44.8370033803, -0.581014218898
42;03/05/2020;394;60;192;Auvergne-Rhône-Alpes;Loire;Tous;45.727718684, 4.16117137934
47;03/05/2020;15;2;7;Nouvelle-Aquitaine;Lot-et-Garonne;Homme;44.3650343519, 0.459260227242
77;03/05/2020;309;35;198;Île-de-France;Seine-et-Marne;Femme;48.6281210472, 2.93531969909
86;03/05/2020;27;5;16;Nouvelle-Aquitaine;Vienne;Homme;46.5638983824, 0.462231269996
